REACH,COMID,n()
BEARVAL1,23519309,2
BEARVAL1,23519311,9
BEARVAL1,23519313,40
BEARVAL1,23519315,101
BEARVAL1,23519317,177
BEARVAL1,23519319,18
BEARVAL1,23519365,6
BEARVAL2,23519365,30
BEARVAL2,23519367,41
BEARVAL2,23519369,151
BEARVAL2,23519371,43
BEARVAL2,23519373,29
BEAVER,23519527,1
BEAVER,23519529,45
BEAVER,23519531,81
BEAVER,23519533,132
BEAVER,23519535,5
BEAVER,23519537,20
BEAVER,23519539,33
BEAVER,23519541,13
BEAVER,23519543,3
BIG1,23531971,2
BIG1,23532003,8
BIG1,23532005,39
BIG1,23532007,16
BIG1,23532009,18
BIG1,23532033,291
BIG1,23532035,88
BIG1,23532039,1
BIG2,23532105,205
BIG2,23532107,193
BIG2,23532109,12
BIG3,23532043,14
BIG3,23532045,13
BIG3,23532069,6
BIG4,23531915,3
BIG5,23531919,8
BIG5,23531921,14
BIG5,23531937,30
BIG6,23531945,7
BIG6,23531947,16
BIG6,23531951,17
BIG6,23531955,2
BIG6,23531957,1
BIG6,23531959,15
BIG7,23531959,5
CAMAS1,23532479,21
CAMAS1,23532481,5
CAMAS1,23532483,34
CAMAS1,23532485,10
CAMAS1,23532487,25
CAMAS1,23532489,4
CAMAS1,23532491,77
CAMAS1,23532519,17
CAMAS1,23532521,7
CAMAS2,23532535,47
CAMAS2,23532537,85
CAMAS2,23532539,1
CAMAS2,23532541,42
CAMAS2,23532543,31
CAMAS3,23532523,52
CAMAS3,23532525,6
CAMAS3,23532529,2
CAPE HORN,23519461,5
CAPE HORN,23519465,1
CAPE HORN,23519467,9
CAPE HORN,23519469,3
CAPE HORN,23519471,3
CAPE HORN,23520419,1
Cape Horn,23519461,54
Cape Horn,23519465,3
Cape Horn,23519467,79
Cape Horn,23519469,38
Cape Horn,23519471,44
Cape Horn,23519473,1
Cape Horn,23520419,24
Cape Horn Cr.,23519461,31
Cape Horn Cr.,23519465,3
Cape Horn Cr.,23519467,15
Cape Horn Cr.,23519469,11
Cape Horn Cr.,23519471,15
Cape Horn Cr.,23519473,1
ELK2,23519345,162
ELK2,23519347,268
ELK2,23519365,1
ELK3,23519347,4
ELK3,23519349,75
ELK3,23519351,53
ELK3,23519353,9
ELK3,23519355,19
Knapp,23519493,6
Knapp,23519495,14
Knapp,23519497,18
Knapp,23519499,10
Knapp,23519501,11
Knapp,23519503,1
LOON1,23519757,3
LOON1,23519759,10
LOON1,23519761,4
LOON1,23519763,1
LOON1,23519767,37
LOON1,23519769,41
LOON1,23519773,20
LOON2,23519773,7
LOON2,23519775,13
LOON2,23519777,12
LOON2,23519779,20
LOON3,23519797,14
LOON3,23519799,84
LOON3,23519801,1
LOON3,23519803,42
LOON3,23519805,6
LOON3,23519807,52
LOON3,23519809,6
LOON3,23519811,2
LOON3,23519813,8
LOON3,23519815,5
MARSH1,23519441,38
MARSH1,23519447,3
MARSH1,23519449,4
MARSH1,23519451,8
Marsh2,23519479,38
Marsh2,23519481,7
Marsh2,23519483,15
Marsh2,23519485,55
Marsh2,23519487,23
Marsh2,23519489,125
Marsh2,23519491,31
Marsh2,23520065,45
Marsh2,23523361,1
SULPHUR2,23519199,5
SULPHUR2,23519201,83
SULPHUR2,23519203,10
SULPHUR2,23519205,16
SULPHUR2,23519207,15
SULPHUR2,23519209,17
SULPHUR2,23519211,61
SULPHUR2,23519213,12
SULPHUR2,23519215,11
SULPHUR2,23519217,73
SULPHUR2,23519219,38
